c1,c2,c3,c4,c5,c7,c9,c10,c11,c12
0.3185840707964601,0.8287671232876712,0.0,0.0547945205479452,0.11519198664440736,0.021201413427561835,0.622047244094488,0.09580838323353294,0.3846153846153846,0.0
0.23893805309734517,0.25342465753424653,0.1,0.11643835616438356,0.09348914858096828,0.028268551236749116,0.44094488188976344,0.08383233532934128,0.32307692307692304,0.0
0.36283185840707965,0.4931506849315068,0.0,0.03424657534246575,0.08848080133555926,0.09540636042402827,0.417322834645669,0.1317365269461078,0.19999999999999996,0.0
0.34513274336283184,0.31849315068493145,0.18,0.0821917808219178,0.11018363939899833,0.08480565371024736,0.3622047244094486,0.08982035928143708,0.2153846153846155,1.0
0.4070796460176991,0.30136986301369867,0.18,0.04794520547945205,0.11018363939899833,0.053003533568904596,0.3228346456692912,0.09580838323353294,0.23076923076923084,0.0
0.32743362831858414,0.13013698630136986,0.39,0.10273972602739725,0.11018363939899833,0.13074204946996465,0.44881889763779537,0.26347305389221565,0.6307692307692307,1.0
0.3008849557522124,0.32191780821917804,0.05,0.07534246575342465,0.12854757929883137,0.09187279151943463,0.48818897637795233,0.16766467065868265,0.24615384615384617,0.0
0.2743362831858408,0.48972602739726023,0.0,0.11643835616438356,0.11519198664440736,0.028268551236749116,0.44094488188976344,0.1137724550898204,0.13846153846153864,0.0
0.23893805309734517,0.2465753424657534,0.32,0.0821917808219178,0.08347245409015025,0.16961130742049468,0.44094488188976344,0.1916167664670659,0.24615384615384617,1.0
0.4424778761061947,0.30136986301369867,0.31,0.13013698630136986,0.12854757929883137,0.1413427561837456,0.29133858267716484,0.3532934131736528,0.24615384615384617,1.0
0.35398230088495575,0.386986301369863,0.1,0.04794520547945205,0.1335559265442404,0.021201413427561835,0.44881889763779537,0.1916167664670659,0.17692307692307696,1.0
0.5132743362831859,0.10958904109589043,0.54,0.1232876712328767,0.15525876460767946,0.04593639575971732,0.40157480314960603,0.17964071856287425,0.1692307692307693,0.0
0.2920353982300885,0.273972602739726,0.26,0.0684931506849315,0.11185308848080133,0.47349823321554774,0.38582677165354307,0.125748502994012,0.1692307692307693,0.0
0.22123893805309736,0.30136986301369867,0.14,0.04794520547945205,0.11018363939899833,0.04240282685512367,0.417322834645669,0.17365269461077845,0.13846153846153864,0.0
0.7433628318584071,0.23972602739726023,0.49,0.23287671232876708,0.12186978297161938,0.1448763250883392,0.44094488188976344,0.2095808383233533,0.6615384615384614,1.0
0.21238938053097345,0.1917808219178082,0.32,0.18493150684931506,0.08180300500834724,0.0812720848056537,0.4251968503937005,0.09580838323353294,0.44615384615384635,1.0
0.3008849557522124,0.273972602739726,0.03,0.0547945205479452,0.09682804674457429,0.10247349823321555,0.47244094488188937,0.1437125748502994,0.24615384615384617,0.0
0.24778761061946908,0.3527397260273972,0.1,0.10273972602739725,0.11352253756260433,0.09540636042402827,0.6614173228346458,0.21556886227544905,0.36923076923076925,1.0
0.17699115044247782,0.30821917808219174,0.02,0.0821917808219178,0.17195325542570952,0.0353356890459364,0.5039370078740153,0.21556886227544905,0.1692307692307693,0.0
0.04424778761061948,0.2054794520547945,0.0,0.06164383561643835,0.053422370617696155,0.28975265017667845,0.7401574803149606,0.2395209580838323,0.8,1.0
0.16814159292035402,0.3390410958904109,0.0,0.0684931506849315,0.08848080133555926,0.04240282685512367,0.5669291338582676,0.1916167664670659,0.12307692307692308,0.0
0.20353982300884965,0.25342465753424653,0.1,0.0958904109589041,0.1035058430717863,0.08480565371024736,0.5354330708661417,0.1497005988023952,0.2769230769230768,1.0
0.38053097345132747,0.21232876712328763,0.45,0.0684931506849315,0.0667779632721202,0.0353356890459364,0.4803149606299213,0.2215568862275449,0.6307692307692307,1.0
0.23008849557522126,0.2465753424657534,0.07,0.31506849315068486,0.12854757929883137,0.04240282685512367,0.49606299212598426,0.2095808383233533,0.4307692307692308,1.0
0.08849557522123891,0.5,0.05,0.03424657534246575,0.05509181969949915,0.28975265017667845,0.6456692913385824,0.2934131736526946,0.6923076923076923,1.0
0.3185840707964601,0.15753424657534243,0.33,0.10273972602739725,0.10684474123539231,0.1448763250883392,0.417322834645669,0.28742514970059885,0.40000000000000013,1.0
0.18584070796460184,0.43150684931506844,0.12,0.07534246575342465,0.12353923205342235,0.26148409893992935,0.5039370078740153,0.1137724550898204,0.2615384615384615,0.0
0.3097345132743363,0.5136986301369862,0.0,0.08904109589041095,0.12020033388981635,0.08833922261484099,0.40157480314960603,0.10179640718562874,0.2153846153846155,0.0
0.3982300884955752,0.0684931506849315,0.24,0.0821917808219178,0.11018363939899833,0.07773851590106007,0.5275590551181102,0.32335329341317365,0.2923076923076924,1.0
0.3893805309734514,0.1780821917808219,0.41,0.10273972602739725,0.15191986644407343,0.014134275618374562,0.30708661417322825,0.1497005988023952,0.5384615384615385,1.0
0.2743362831858408,0.3150684931506849,0.01,0.06164383561643835,0.12687813021702837,0.04240282685512367,0.4566929133858264,0.13772455089820365,0.32307692307692304,1.0
0.23008849557522126,0.1780821917808219,0.31,0.07534246575342465,0.07345575959933222,0.0812720848056537,0.38582677165354307,0.2574850299401198,0.44615384615384635,1.0
0.2831858407079646,0.3595890410958904,0.0,0.31506849315068486,0.12353923205342235,0.04240282685512367,0.5196850393700787,0.1317365269461078,0.18461538461538463,1.0
0.1415929203539823,0.1643835616438356,0.24,0.08904109589041095,0.13856427378964942,0.12720848056537104,0.6535433070866139,0.1437125748502994,0.5076923076923077,1.0
